Date,AGG,SPY,AAPL,CISCO
5/24/12,170.6574336,215.24,72.94627894,13.91197591
5/25/12,169.0995938,212.89,72.55530175,13.86104739
5/29/12,170.9794452,214.75,73.8430748,14.08173767
5/30/12,169.2997631,209.23,74.7334189,13.91197591
5/31/12,167.8811716,212.91,74.54760796,13.86104739
6/1/12,164.5566196,208.22,72.38755576,13.54698814
6/4/12,164.0866568,214.57,72.8133725,13.67430946
6/5/12,164.6610558,213.21,72.62498085,13.68279754
6/6/12,168.8298003,217.64,73.73855615,14.16237451
6/7/12,169.221436,218.8,73.77210534,14.07324958
6/8/12,169.8306471,218.48,74.88180958,14.2005709
6/11/12,167.541754,216.5,73.70113589,13.98412466
6/12/12,169.3171692,216.42,74.34502242,14.25149943
6/13/12,168.0552319,214.73,73.82888091,14.13691024
6/14/12,169.795835,214.45,73.74758862,14.36184457
6/15/12,173.2770413,218.35,74.0830806,14.51463015
6/18/12,172.572097,222.66,75.58634274,14.5485825
6/19/12,173.12909,224.03,75.7966704,14.58253485
6/20/12,172.9985448,223.02,75.58131036,14.86264175
6/21/12,168.3076194,220.575,74.53986583,14.36608861
6/22/12,168.5774129,222.16,75.11149255,14.54009441
6/25/12,167.8463595,220.07,73.64887656,14.3745767
6/26/12,167.0543851,225.61,73.81146113,14.27271965
6/27/12,167.9682018,225.62,74.13082369,14.2005709
6/28/12,166.5757193,221.31,73.42758089,13.98836871
6/29/12,170.2135798,228.35,75.35665977,14.57404676
7/2/12,170.4311552,229.32,76.45604117,14.56555868
7/3/12,170.5181853,229.53,77.34509491,14.62525359
7/5/12,169.9611923,227.06,78.70383743,14.44616885
7/6/12,166.5844223,225.05,78.1799538,14.30119549
7/9/12,165.0700975,225.05,79.21352716,14.19886136
7/10/12,162.1023692,219.5,78.48060623,13.99419308
7/11/12,161.2233646,218.37,77.9928525,13.96860955
7/12/12,159.3435133,215.36,77.27928687,13.62749576
7/13/12,161.8847938,218.39,78.06253161,13.90891464
7/16/12,160.8230259,216.01,78.31286024,13.8065805
7/17/12,159.8308821,216.93,78.3167313,13.84069188
7/18/12,163.8342693,217.47,78.22898724,14.24150058
7/19/12,170.0047074,226.17,79.26901238,14.22018097
7/20/12,167.4895359,228.29,77.9760779,13.95155386
7/23/12,166.0796474,226.01,77.91543128,13.70424637
7/24/12,165.6531996,223.04,77.53993833,12.89410112
7/25/12,166.2972228,217.05,74.19147032,13.14993646
7/26/12,168.7949882,220.01,74.17985713,13.11582508
7/27/12,170.9185241,237.32,75.5063408,13.38018827
7/30/12,171.1709115,236.09,76.77991997,13.53368947
7/31/12,170.5617004,233.3,78.80964644,13.60191223
8/1/12,169.8654592,232.09,78.2999567,13.62749576
8/2/12,169.230139,230.81,78.42641137,13.42282749
8/3/12,172.7722664,234.97,79.44708119,13.94302602
8/6/12,172.9811388,233.99,80.33097352,14.23297273
8/7/12,173.9993916,236.56,80.11987165,14.61672574
8/8/12,173.9558765,234.38,79.98386836,14.63378143
8/9/12,173.4227253,234.06,80.43807288,15.09428504
8/10/12,174.1831213,232.75,80.56377155,14.95783953
8/13/12,173.9383961,232.44,81.63933742,14.78728264
8/14/12,173.3091029,233.19,81.85833818,14.64230928
8/15/12,173.4052449,237.42,81.74689401,14.79581048
8/16/12,175.5378498,241.55,82.46091424,16.21996054
8/17/12,175.8699767,241.17,83.98614441,16.25407192
8/20/12,175.2406835,240.35,86.1942941,16.15173778
8/21/12,173.6237495,239.45,85.01661426,16.33935036
8/22/12,172.4001238,243.1,86.67635495,16.38966465
8/23/12,171.0453953,241.198,85.86773675,16.30950291
8/24/12,172.8546134,245.74,85.94445181,16.37346174
8/27/12,171.0366552,243.92,87.55883731,16.50990726
8/28/12,170.3199601,246.11,87.44480142,16.39051743
8/29/12,170.5035039,247.12,87.27193336,16.37346174
8/30/12,169.0089325,246.22,86.02816453,16.1176264
8/31/12,170.3024797,248.27,86.20595687,16.27112761
9/4/12,170.031534,247.88,87.46683108,16.19864093
9/5/12,170.4685432,246.22,86.85259225,16.1176264
9/6/12,174.0170578,251.38,87.6352932,16.82117359
9/7/12,174.3666651,259.14,88.17566786,16.68046415
9/10/12,175.6339918,257.09,85.88199124,16.33082252
9/11/12,177.6617144,255.67,85.6033808,16.23701623
9/12/12,178.0987236,255.63,86.7955743,16.27112761
9/13/12,180.3624312,260.24,88.50481694,16.50990726
9/14/12,180.7557394,261.27,89.58038281,16.62076924
9/17/12,181.0529057,258,90.68199552,16.33935036
9/18/12,180.9829842,258.75,90.95788465,16.24128015
9/19/12,180.4236125,261.68,90.98250604,16.30523899
9/20/12,180.2051079,260.81,90.54191279,16.29671114
9/21/12,180.0303042,257.47,90.72268561,16.1176264
9/24/12,179.4272315,254.805,89.51688555,16.03661188
9/25/12,179.1562858,252.46,87.28152274,15.91722205
9/26/12,178.2997478,249.67,86.19818169,15.84047145
9/27/12,179.9691229,256.59,88.28970376,16.02808403
9/28/12,181.3151112,254.32,86.44763522,16.28391937
10/1/12,183.9546467,252.01,85.4478773,16.23701623
10/2/12,183.4040151,250.6,85.6966829,16.2114327
10/3/12,183.9896074,255.92,87.01068748,16.26297938
10/4/12,183.8847252,260.47,86.40811142,16.23291048
10/5/12,184.0595289,258.51,84.56669081,16.20284158
10/8/12,183.3865347,259.06,82.69805708,16.23720604
10/9/12,181.7870811,250.96,82.39741698,16.15129489
10/10/12,179.8904613,244.99,83.05312341,15.73033029
10/11/12,179.8380202,244.22,81.39312355,15.68737472
10/12/12,181.6210176,242.36,81.60227575,15.81194588
10/15/12,182.6086584,244.18,82.25616797,15.93651704
10/16/12,184.4178764,243.94,84.20417327,16.19648416
10/17/12,175.3543059,247.49,83.53305904,16.06967931
10/18/12,170.3986217,244.85,81.98144512,15.98376817
10/19/12,169.0001923,240,79.02687862,15.49845612
10/22/12,169.9091715,233.78,82.16157001,15.62723692
10/23/12,167.1560136,234.31,79.48242613,15.47259686
10/24/12,166.6927838,228.49,79.93268651,14.93135666
10/25/12,167.46192,222.92,78.98774358,14.77671661
10/26/12,168.9215307,238.24,78.27009492,14.85403663
10/31/12,170.0227938,232.8931,77.14528628,14.72946548
11/1/12,172.312722,232.14,77.30336854,15.03874559
11/2/12,169.0613736,232.4224,74.74534893,14.90558332
11/5/12,169.6819267,234.33,75.75885595,14.94853889
11/6/12,170.4947638,237.56,75.52928095,15.01726781
11/7/12,167.8202675,232.0608,72.65277721,14.78530772
11/8/12,166.8896885,227.35,70.01594608,14.45884538
11/9/12,166.4858524,226.31,71.22812359,14.45025426
11/12/12,166.1434695,226.47,70.67737054,14.48032316
11/13/12,165.3270181,226.6,70.68622426,14.47602761
11/14/12,162.8601058,222.95,69.90267063,15.17259515
11/15/12,163.1585934,220.599,68.43659987,15.41357591
11/16/12,164.1155096,225.23,68.7045549,15.45541464
11/19/12,167.1091647,229.71,73.6589887,15.72242647
11/20/12,166.0995743,233.78,73.03185936,15.75610364
11/21/12,167.0564904,238.03,73.13427599,15.87637924
11/23/12,169.8657856,239.88,74.41025232,16.18565935
11/26/12,169.3302637,243.62,76.75778836,16.37036831
11/27/12,167.8817209,243.4017,76.13933045,16.40877059
11/28/12,168.5401494,247.11,75.89975938,16.29652105
11/29/12,168.1450923,251.27,76.73565408,16.45230299
11/30/12,166.8633514,252.05,76.20443128,16.36575747
12/3/12,166.3453876,250.3291,76.3229148,16.46978518
12/4/12,166.240039,252.4881,74.97603064,16.59077582
12/5/12,165.6167267,253.96,70.15165528,16.62539402
12/6/12,166.5385266,253.37,71.2521458,16.85906692
12/7/12,168.5138123,253.2681,69.43003858,16.73357592
12/10/12,169.1020084,247.77,68.98356405,17.12735803
12/11/12,170.4890979,250.69,70.48961974,17.11870348
12/12/12,169.391717,251.76,70.17869816,17.07543072
12/13/12,168.5489285,251.25,68.96652065,17.08408527
12/14/12,168.3470104,249.19,66.37602829,17.18793989
12/17/12,169.9799132,253.86,67.55253055,17.40430369
12/18/12,171.797176,260.4,69.51466966,17.63918822
12/19/12,171.2616541,257.99,68.52643902,17.54251688
12/20/12,170.9895036,261.5,67.93014142,17.51681286
12/21/12,169.8043322,256.92,67.61763138,17.27448541
12/24/12,168.9088694,258.62,67.72674038,17.16197623
12/26/12,168.5138123,248.6314,66.79338974,17.2398672
12/27/12,169.1810199,248.31,67.06167027,17.0061943
12/28/12,166.6526543,245.18,66.34936299,16.83258399
12/31/12,168.1626504,250.87,69.28979837,17.00567503
1/2/13,172.3765931,257.31,71.48462088,17.60335838
1/3/13,171.428456,258.48,70.5817895,17.69855845
1/4/13,170.3047379,259.15,68.61627817,17.72616647
1/7/13,169.5585189,268.4592,68.212653,17.56034525
1/8/13,169.3214846,266.38,68.39623735,17.57739472
1/9/13,168.838637,266.35,67.32728167,17.56874017
1/10/13,169.3302637,265.34,68.16187435,17.68990389
1/11/13,170.7085741,267.94,67.743927,17.7245221
1/14/13,169.1020084,272.73,65.32868609,18.14859514
1/15/13,168.9966599,271.9,63.26759371,18.15724969
1/16/13,169.0756713,268.93,65.89376132,18.20052245
1/17/13,170.0062503,270.48,65.44977364,18.13128604
1/18/13,170.7261322,272.12,65.10083317,18.18754062
1/22/13,172.1395588,270.19,65.72189512,18.06204962
1/23/13,179.7246556,268.11,66.92430751,17.84568583
1/24/13,179.4612842,273.62,58.65585069,18.1918679
1/25/13,179.9441318,283.99,57.27310899,18.30437707
1/28/13,179.9090156,276.04,58.56861557,18.22648611
1/29/13,179.0047738,260.35,59.66751764,17.98415866
1/30/13,178.67117,272.764,59.48002724,17.81106762
1/31/13,178.2761128,265.5,59.30555701,17.80241307
2/1/13,180.1284918,265,59.06207989,18.02743142
2/4/13,178.9082042,259.98,57.59028025,18.01877686
2/5/13,178.0302995,266.89,59.61205173,18.24379521
2/6/13,177.2226272,262.22,59.5477321,18.33899528
2/7/13,176.0941575,260.23,61.30805863,18.25677704
2/8/13,177.8044943,261.95,62.19320339,18.31303162
2/11/13,176.4644366,257.21,62.84134932,18.40823169
2/12/13,176.3586426,258.7,61.26615829,18.14859514
2/13/13,176.4027235,269.47,61.14962296,18.29572252
2/14/13,176.014812,269.24,61.09462876,18.16590424
2/15/13,177.1873625,265.09,60.25269374,18.16590424
2/19/13,176.6054953,269.75,60.23043418,18.57266818
2/20/13,175.7150623,266.41,58.77177848,18.26543159
2/21/13,174.8510777,265.94,58.40645986,17.96684955
2/22/13,177.2843403,265.42,59.02841808,18.08801328
2/25/13,174.1281519,259.87,57.97960011,17.88030403
2/26/13,175.5651874,259.36,58.7874911,17.83530037
2/27/13,178.3775453,263.25,58.21136138,18.07935873
2/28/13,177.05512,264.27,57.79628611,18.04906779
3/1/13,178.8888831,265.74,56.3651275,18.02743142
3/4/13,180.8989696,273.11,55.00074757,17.94954045
3/5/13,182.0803362,275.59,56.4533801,18.36322803
